perform_prior,quitjob,treatment,costofcommute,children,male,prior_experience,tenure,ageyoungestchild,bedroom,high_school,university,internet
0.797329903,0,0,6,0,0,0,51,0,1,0,0,1
0.594948649,0,1,10,1,0,0,51,3,1,1,0,1
0.859708011,1,0,12,1,1,48,51,1,1,0,0,1
-0.050977934,0,0,10,0,0,0,50,0,1,0,0,1
0.662377357,0,0,10,1,0,6,50,4,1,0,0,1
0.032493778,0,0,8,0,0,36,50,0,1,0,1,1
-0.968039751,0,1,0,0,1,24,50,0,1,0,0,1
0.242749557,0,1,25,1,0,24,50,3,1,0,0,1
0.251179338,0,1,10,0,0,36,50,0,1,1,0,1
1.071249843,0,0,10,1,0,10,50,1,1,0,1,1
-1.082086802,0,1,4,0,1,0,50,0,1,0,0,1
-1.057340622,0,1,0,0,1,24,45,0,1,0,0,1
0.462815195,0,1,0,0,1,0,45,0,1,0,0,1
-0.190205932,0,0,12,1,1,24,45,2,1,1,0,1
-0.781470895,0,1,14,0,0,36,45,0,1,0,0,1
-0.061767481,0,1,8,0,0,24,44,0,1,0,0,1
-0.500678182,0,0,15,0,1,120,44,0,1,0,0,1
-0.729847312,0,0,9,0,1,0,44,0,1,0,0,1
0.011098285,0,0,0,0,0,0,42,0,1,0,0,1
-0.071804918,0,1,12,0,1,0,42,0,1,1,0,1
-0.350246757,1,0,14,0,0,0,41,0,1,0,0,1
-0.147362828,0,0,16,0,0,12,37,0,1,1,0,1
-0.57803303,0,0,3.5,1,1,24.88888931,37,2,1,0,1,1
0.62046653,0,1,2,0,0,72,37,0,1,0,0,1
-0.467031419,0,1,4,0,1,30,37,0,1,0,0,1
0.610499859,0,0,4,0,0,0,36,0,1,0,0,1
0.629829764,0,1,0,1,0,0,36,1,1,0,0,1
1.181747317,0,0,6,0,0,0,35,0,1,0,0,1
0.128011152,0,1,3,0,1,0,35,0,1,0,0,1
0.87539351,0,1,0,0,0,0,35,0,1,0,0,1
1.307885647,0,1,10,0,1,0,35,0,1,0,0,1
-0.630300999,0,0,8,0,1,0,35,0,1,0,0,1
-0.404843748,0,1,0,0,1,12,35,0,1,0,0,1
1.192110181,0,1,12,0,0,36,34,0,1,0,0,1
-0.666700721,0,0,12,0,1,3,34,0,1,0,0,1
-0.276460111,1,1,25,0,1,18,34,0,1,0,0,1
-0.622545838,0,1,3,1,0,120,34,13,1,0,0,1
-0.274410397,0,0,2,0,0,0,33,0,1,1,0,1
-0.136786744,0,0,4,0,1,0,33,0,1,0,0,1
-0.765685141,0,1,6,0,1,10,32,0,1,0,0,1
-0.445925176,0,1,12,0,1,0,32,0,1,0,0,1
0.702930331,0,1,10,0,0,0,32,0,1,0,0,1
0.044456609,0,1,10,0,0,7,32,0,1,0,0,1
-0.7591874,0,1,0,0,1,48,32,0,1,0,0,1
0.532272518,0,0,0,0,0,0,31,0,1,0,0,1
0.524053574,0,1,10,0,0,24,31,0,1,0,0,1
-0.239572406,0,1,4,1,1,20,31,1,1,0,0,1
-1.231792808,0,1,0,0,1,6,31,0,0,0,0,1
-0.78081286,0,1,0,0,1,0,30,0,1,0,0,1
0.413524956,1,0,2,0,0,60,30,0,1,0,0,1
0.009408872,1,0,10,0,0,15,30,0,1,0,0,1
0.34132719,1,1,6,0,0,36,30,0,1,0,0,1
0.428260326,0,0,4,0,0,0,28,0,1,0,0,1
0.085549563,0,0,10,0,0,18,27,0,1,0,0,1
0.105935223,0,0,0,1,1,18,27,1,1,1,0,1
-0.971829772,0,1,15,0,1,15,27,0,1,0,0,1
-0.55329293,0,1,30,0,1,0,27,0,1,0,0,1
0.129089981,1,0,5,1,0,0,27,2,1,0,0,1
-0.923717737,0,1,0,0,0,0,27,0,1,0,0,1
0.106752418,1,0,10,0,0,0,27,0,1,0,0,1
-0.735892296,1,0,10,0,1,36,26,0,1,0,0,1
-0.389844686,1,1,9,0,1,31,26,0,1,0,0,1
0.634947002,0,0,9,0,1,72,26,0,1,0,0,1
0.403023511,0,1,30,0,1,36,26,0,1,0,0,1
0.549625516,1,1,0,0,0,0,26,0,1,0,0,1
-0.814952672,0,0,10,1,1,36,26,1,1,0,0,1
-0.869899929,1,1,2,1,1,16,25,1,1,0,0,1
-0.266597152,0,0,5,0,1,24,25,0,1,0,0,1
-0.346660674,1,0,12,0,1,66,25,0,1,0,0,1
-0.225680515,0,1,5,0,0,25,25,0,1,0,0,1
0.161787286,0,1,5,0,1,72,25,0,1,1,0,1
0.823265672,0,1,0,0,0,0,25,0,0,0,0,1
-0.452932447,1,1,30,0,1,0,25,0,1,0,0,1
-0.679061174,0,1,8,0,1,12,24,0,1,0,0,1
-0.104429536,0,0,8,0,1,0,24,0,1,0,0,1
0.095728457,1,0,3,0,0,0,24,0,1,0,0,1
0.155580655,0,1,14,0,0,0,24,0,1,0,0,1
0.766824603,0,1,4,0,0,0,24,0,1,0,0,1
0.837502539,0,1,4,0,0,24,24,0,1,0,0,1
0.974455774,0,0,8,1,0,60,23,3,1,1,0,1
-0.282268733,0,1,17.72727203,0,1,40,23,0,1,1,0,1
0.331356555,0,0,4,0,0,0,23,0,1,1,0,1
-0.599885345,0,1,8,0,1,36,23,0,1,0,0,1
-0.220347404,1,0,8,0,1,0,23,0,1,0,0,1
-0.251256585,0,0,10,0,1,0,22,0,1,0,0,1
-0.31524241,0,0,12,0,0,0,22,0,1,0,0,1
-0.904521704,0,1,10,0,1,18,22,0,1,0,0,1
0.37143752,0,0,4,0,0,0,22,0,1,0,0,1
0.404651999,1,0,0,0,1,24,22,0,1,0,0,1
-0.588204384,1,0,10,0,1,12,21,0,1,0,0,1
-0.075300135,1,0,0,0,1,0,21,0,1,0,0,1
0.436496437,0,1,5,0,0,18,20,0,1,0,0,1
0.494186401,1,0,10,1,1,50,20,1,1,0,0,1
-0.718438685,1,0,6,0,1,48,20,0,1,0,0,1
-0.05893892,0,1,8,0,1,12,19,0,1,0,0,1
0.413139373,0,0,0,0,1,6,19,0,1,0,0,1
-0.621526599,0,1,6,0,1,0,19,0,1,0,0,0
0.514282942,0,0,4,0,1,0,19,0,1,1,0,1
-0.715160549,1,1,6,0,0,0,18,0,1,0,0,1
0.365685374,0,1,8,0,1,0,15,0,1,0,0,1
0.003661253,1,0,5,0,0,0,13,0,1,0,0,1
0.014250415,0,0,10,0,0,0,13,0,1,1,0,1
-0.03769717,0,1,0,0,0,0,13,0,1,0,0,1
-0.120114498,1,1,3,0,1,0,13,0,1,0,1,1
0.37780115,0,1,2,0,0,0,12,0,1,0,0,1
-0.047367483,0,0,0,0,1,1,12,0,1,0,0,1
-0.023898713,1,1,4,0,0,24,12,0,1,0,0,1
0.409759969,0,0,12,0,0,30,12,0,1,0,0,1
-0.377791524,0,0,10,0,1,60,12,0,1,0,0,1
-0.203798532,1,1,0,0,1,0,12,0,1,0,0,1
0.127828509,0,1,4,0,0,36,78,0,1,0,0,1
-0.065893233,1,1,0,0,0,0,11,0,1,0,0,1
1.24080348,0,1,2,0,1,0,11,0,1,0,0,1
-0.797213912,1,0,10,0,1,0,11,0,1,0,0,1
-0.062686689,0,1,0,1,1,180,11,10,1,0,0,1
0.158419341,0,1,8,0,0,30,11,0,1,0,0,1
-0.490064055,0,1,10,0,0,0,11,0,1,0,0,1
-0.379412979,0,0,10,0,0,3,11,0,1,0,0,1
0.05756535,1,1,10,0,0,0,11,0,1,0,0,1
-0.179071352,0,1,10,0,0,0,11,0,1,0,0,1
0.20807445,1,0,12,1,0,60,11,3,1,0,0,1
-0.087636046,0,1,6,0,0,0,11,0,1,0,0,1
-0.463103503,1,0,4,0,1,30,10,0,1,0,0,1
0.228802249,0,1,30,0,0,33,10,0,1,0,0,1
0.820218265,0,1,4,0,0,2,10,0,1,0,0,1
0.104363516,0,1,4,0,0,0,10,0,1,0,0,1
-0.214420617,1,0,10,0,1,0,10,0,1,1,0,1
-0.25767687,1,0,0,0,0,0,10,0,1,0,0,1
0.634949625,0,1,12,0,0,12,10,0,1,0,0,1
0.1211164,0,1,0,0,0,0,10,0,1,0,0,1
0.233344913,1,1,12,0,1,48,10,0,1,0,0,1
0.206144333,0,0,4,0,0,0,10,0,1,0,0,1
-0.217729464,0,0,8,0,1,0,10,0,1,0,0,1
-0.312125683,0,0,10,0,1,0,9,0,1,0,0,1
-0.151331916,0,0,6,0,0,2,9,0,1,0,0,1
0.152497366,1,0,10,0,0,0,9,0,1,1,0,1
0.590668797,0,0,10,0,1,0,9,0,1,0,0,1
-0.359173238,1,0,30,0,0,12,9,0,1,0,0,1
0.252319902,0,1,10,0,0,0,9,0,1,0,0,1
-0.121251717,1,1,24,0,0,36,9,0,1,0,0,1
-0.097418249,0,1,8,0,0,24,9,0,1,0,0,1
1.538920641,0,1,0,0,0,0,9,0,1,1,0,1
0.413749725,0,0,0,1,0,6,9,2,1,0,0,1
-0.641239643,1,1,55,1,1,36,9,4,1,0,0,1
0.148939535,0,1,2,0,0,24,8,0,1,1,0,1
0.948772848,0,1,5,0,1,31,8,0,1,1,0,1
0.276466697,1,0,20,0,0,0,8,0,1,0,0,1
-0.559072912,0,0,6,0,1,0,8,0,1,0,0,1
-0.371619433,1,0,4.545454502,0,0,24,8,0,1,0,0,1
0.668151855,0,1,4,1,1,108,8,6,1,1,0,1
0.267997116,0,0,12,0,1,20,8,0,1,0,0,1
0.482449681,0,1,4,0,0,12,8,0,1,0,0,1
-0.094636105,0,1,10,0,1,5,8,0,1,1,0,1
-0.02529658,0,1,10,0,1,12,6,0,1,0,0,1
-1.259604335,0,1,10,0,0,0,6,0,1,0,0,1
-0.319064647,1,1,10,0,1,36,6,0,1,0,0,1
-0.392119348,1,0,6,0,1,36,6,0,1,0,0,1
-0.121341206,0,1,0,0,0,0,6,0,1,0,0,1
-0.366249233,1,0,8,0,1,0,5,0,1,1,0,1
-0.33475247,1,1,0,0,0,0,5,0,1,1,0,1
0.335415274,0,1,12,0,1,20,5,0,1,0,0,1
-0.07073494,0,0,15,1,1,36,5,0,1,0,0,1
-0.04130923,0,0,4,0,1,0,5,0,1,0,0,1
0.178749159,0,0,20,0,1,48,5,0,1,0,0,1
-0.115611389,0,1,12,0,0,0,5,0,1,0,0,1
0.042018514,0,1,8,0,0,36,4,0,1,0,0,1
-0.957539439,1,1,2,0,1,0,4,0,1,0,0,1
0.323747039,0,1,10,0,0,24,4,0,1,1,0,1
-0.379552871,0,1,10,0,1,24,4,0,1,0,0,1
0.122516744,0,0,12,0,0,0,4,0,1,1,0,1
-1.007796884,1,0,0,0,1,0,4,0,1,0,0,1
0.380232185,1,0,16,0,0,0,4,0,1,1,0,1
-0.811179399,0,0,8,0,1,12,3,0,1,0,0,1
-1.192137241,0,1,12,0,1,0,3,0,1,0,0,1
-0.986463726,0,1,16,0,0,60,3,0,1,1,0,1
-0.317860454,0,0,12,0,0,0,2.5,0,1,0,0,1
-0.333028793,0,1,10,0,0,40,2.5,0,1,0,0,1
-0.131772235,0,1,0,0,1,48,2,0,1,0,0,1
-0.743817627,0,1,0,0,1,6,2,0,1,0,0,1
-1.071876764,1,0,10,0,1,24,3,0,1,0,0,1
-0.361350089,0,0,12,0,1,5,2,0,1,0,0,1
-0.044172138,0,1,4,0,1,0,2,0,1,0,0,1
-1.101897836,0,0,4,0,1,24,2,0,1,0,0,1
-0.993134797,0,0,0,0,1,36,2.5,0,1,0,0,1
