personid,treatment,ordertaker,type,quitjob,age,costofcommute,children,male,married,perform_prior,perform_post,prior_experience,tenure,basewage,bonus,grosswage,ageyoungestchild,rental,bedroom,second_technical,high_school,tertiary_technical,university,internet,phonecalls_prior,phonecalls_post
28484,0,TRUE,1,1,23,5,1,0,1,0.129089981,0.101309732,0,27,1450,565.888916,2099.01001,2,1,1,1,0,0,0,1,18.432,6.566
28492,1,FALSE,2,0,24,0,0,0,0,-0.923717737,-1.150009632,0,27,1600,2212.555664,4226.693359,0,1,1,0,0,1,0,1,0,0
28560,0,FALSE,4,1,20,10,0,0,0,0.106752418,-1.393335581,0,27,1683.333374,1020.555542,2999.708984,0,0,1,0,0,1,0,1,0,0
29024,0,FALSE,4,1,26,10,0,1,0,-0.735892296,-1.339223385,36,26,1550,751.777771,2590.263428,0,0,1,1,0,0,0,1,0,0
29032,1,FALSE,4,1,23,9,0,1,0,-0.389844686,-0.811794519,31,26,1550,867,2695.275635,0,0,1,1,0,0,0,1,0,0
29172,0,TRUE,1,0,26,9,0,1,0,0.634947002,0.51220119,72,26,1566.666626,1074.111084,2896.333252,0,0,1,0,0,1,0,1,25.13,17.276
29216,1,FALSE,4,0,26,30,0,1,0,0.403023511,-0.740276814,36,26,1683.333374,998.333313,2973.506592,0,0,1,0,0,1,0,1,0,0
29230,1,TRUE,1,1,24,0,0,0,0,0.549625516,-0.371971965,0,26,1583.333374,972.555542,3485.45874,0,1,1,0,0,1,0,1,26.205,6.739
29248,0,FALSE,3,0,27,10,1,1,1,-0.814952672,-0.863108754,36,26,1550,932.888916,2749.632324,1,0,1,1,0,0,0,1,0,0
29808,1,TRUE,1,1,25,2,1,1,1,-0.869899929,-0.004245222,16,25,1600,1242.555542,3093.973389,1,1,1,0,0,1,0,1,11.554,9.447
29996,0,FALSE,4,0,23,5,0,1,1,-0.266597152,-0.709272325,24,25,1550,1118.444458,3353.483398,0,0,1,1,0,0,0,1,0,0
30002,0,FALSE,4,1,26,12,0,1,0,-0.346660674,-1.05013895,66,25,1616.666626,1471.333374,3399.685547,0,0,1,0,0,1,0,1,0,0
30006,1,FALSE,4,0,24,5,0,0,0,-0.225680515,-0.876221299,25,25,1550,1445.333374,3288.848877,0,1,1,1,0,0,0,1,0,0
30014,1,TRUE,1,0,30,5,0,1,0,0.161787286,0.00623167,72,25,1550,1965.888916,4341.636719,0,0,1,0,1,0,0,1,24.264,17.035
30308,1,FALSE,5,0,21,0,0,0,0,0.823265672,0.549055576,0,25,1583.333374,1276.777832,3713.081055,0,1,0,0,0,1,0,1,0,0
30448,1,FALSE,5,1,23,30,0,1,0,-0.452932447,-1.171137333,0,25,1638.888916,1180.888916,3593.034424,0,1,1,0,0,1,0,1,0,0
30972,1,FALSE,4,0,27,8,0,1,0,-0.679061174,-0.401281625,12,24,1550,1075.777832,2846.774414,0,0,1,1,0,0,0,1,0,0
31136,0,TRUE,1,0,23,8,0,1,0,-0.104429536,-0.445341736,0,24,1550,851.777771,2625.056641,0,0,1,1,0,0,0,1,21.031,11.497
31150,0,TRUE,1,1,23,3,0,0,0,0.095728457,-0.238994986,0,24,1550,861.333313,2573.622314,0,1,1,0,0,1,0,1,21.559,6.947
31230,1,FALSE,4,0,24,14,0,0,1,0.155580655,-0.766737103,0,24,1550,1158.111084,2939.375488,0,0,1,1,0,0,0,1,0,0
31292,1,TRUE,1,0,27,4,0,0,0,0.766824603,1.163660288,0,24,1600,1750.888916,3627.651123,0,0,1,0,0,1,0,1,25.653,20.525
31796,1,FALSE,4,0,24,4,0,0,1,0.837502539,-0.578788698,24,24,1550,1996.333374,3867.273438,0,1,1,1,0,0,0,1,0,0
31888,0,TRUE,1,0,27,8,1,0,1,0.974455774,0.747703373,60,23,1550,1452.666626,3249.638916,3,0,1,0,1,0,0,1,27.921,20
31936,1,TRUE,1,0,25,17.72727203,0,1,0,-0.282268733,-0.166188374,40,23,1550,620.888916,2403.451172,0,0,1,0,1,0,0,1,18.752,12.891
